Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1u,C_0603_1608Metric,118.0,-95.0,180.0,bottom
C10,0.1u,C_0603_1608Metric,126.5,-90.5,90.0,bottom
C11,0.1u,C_0603_1608Metric,125.5,-116.0,0.0,bottom
C12,0.1u,C_0603_1608Metric,149.5,-106.5,270.0,bottom
C13,1u,C_0603_1608Metric,106.5,-94.5,90.0,bottom
C14,1u,C_0603_1608Metric,145.0,-95.0,270.0,bottom
C15,4.7u,C_1206_3216Metric,123.5,-127.0,90.0,bottom
C16,4.7u,C_1206_3216Metric,128.5,-127.0,90.0,bottom
C17,4.7u,C_1206_3216Metric,126.0,-127.0,90.0,bottom
C18,4.7u,C_1206_3216Metric,113.5,-77.0,270.0,bottom
C19,1u,C_0603_1608Metric,138.0,-96.0,270.0,bottom
C2,0.1u,C_0603_1608Metric,115.5,-111.5,270.0,bottom
C21,1u,C_0603_1608Metric,143.0,-90.0,90.0,bottom
C22,1u,C_0603_1608Metric,137.0,-91.5,90.0,bottom
C23,4.7u,C_1206_3216Metric,123.5,-77.0,270.0,bottom
C24,4.7u,C_1206_3216Metric,121.0,-77.0,270.0,bottom
C25,4.7u,C_1206_3216Metric,118.5,-77.0,270.0,bottom
C26,4.7u,C_1206_3216Metric,116.0,-77.0,270.0,bottom
C27,0.1u,C_Rect_L16.5mm_W5.0mm_P15.00mm_MKT,138.5,-53.0,0.0,bottom
C28,0.1u,C_Rect_L16.5mm_W5.0mm_P15.00mm_MKT,111.0,-53.0,180.0,bottom
C29,0.1u,C_0603_1608Metric,112.0,-93.0,90.0,bottom
C3,0.1u,C_0603_1608Metric,130.5,-92.5,180.0,bottom
C30,1u,C_0603_1608Metric,114.0,-100.5,90.0,bottom
C31,1u,C_0603_1608Metric,107.5,-97.5,90.0,bottom
C32,1u,C_0603_1608Metric,125.5,-76.5,90.0,bottom
C34,0.1u,C_0603_1608Metric,129.5,-112.5,270.0,bottom
C35,0.1u,C_0603_1608Metric,120.5,-115.5,180.0,bottom
C4,0.1u,C_0603_1608Metric,121.0,-103.5,90.0,bottom
C5,0.1u,C_0603_1608Metric,123.0,-105.5,0.0,bottom
C6,0.1u,C_0603_1608Metric,133.0,-102.5,270.0,bottom
C7,0.1u,C_0603_1608Metric,140.0,-106.0,270.0,bottom
C8,0.1u,C_0603_1608Metric,135.0,-151.0,90.0,bottom
C9,0.1u,C_0603_1608Metric,105.0,-110.5,0.0,bottom
D15,D_Zener_3.3V,D_SOD-323_HandSoldering,153.0,-106.7875,90.0,bottom
D16,D,D_SMA,112.0,-123.5,270.0,bottom
D17,D_Zener,D_SOD-323_HandSoldering,131.0,-116.5,90.0,bottom
D23,D,D_SOD-323_HandSoldering,111.175,-99.0,180.0,bottom
D24,D,D_SOD-323_HandSoldering,111.175,-97.0,0.0,bottom
D27,D,D_SMA,116.5,-123.5,270.0,bottom
GD1,MCP1402T,SOT-23-5,111.175,-102.5,90.0,bottom
L1,10uH,L_Bourns_SRP1770TA_16.9x16.9mm,119.5,-65.5,90.0,bottom
PC1,TLP117,SSO-6_6.8x4.6mm_P1.27mm_Clearance8mm,102.0,-97.0,90.0,bottom
PC2,TLP117,SSO-6_6.8x4.6mm_P1.27mm_Clearance8mm,148.5,-98.0,90.0,bottom
PC3,TLP117,SSO-6_6.8x4.6mm_P1.27mm_Clearance8mm,141.0,-98.0,90.0,bottom
Q1,Q_NMOS_GDS,TO-252-2_diff,100.5,-73.0,0.0,bottom
Q10,Q_NMOS_GSD,SOT-23,132.0,-141.5,270.0,bottom
Q2,Q_NMOS_GDS,TO-252-2_diff,149.5,-73.0,180.0,bottom
Q3,Q_NMOS_GSD,SOT-23,133.0,-111.0,270.0,bottom
Q5,Q_NMOS_GDS,TO-220F-3_Horizontal_TabDown_HV_INV_diff,133.5,-58.8125,180.0,bottom
Q6,Q_NMOS_GDS,TO-252-2,100.5,-59.5,0.0,bottom
Q7,Q_NMOS_GDS,TO-252-2,149.5,-66.0,180.0,bottom
Q8,Q_NMOS_GDS,TO-252-2,100.5,-66.0,0.0,bottom
Q9,Q_NMOS_GDS,TO-252-2,149.5,-59.0,180.0,bottom
R1,1k,R_0603_1608Metric,152.0,-97.0,90.0,bottom
R10,10k,R_0603_1608Metric,105.0,-109.0,180.0,bottom
R11,10k,R_0603_1608Metric,128.0,-90.5,270.0,bottom
R12,100,R_0603_1608Metric,104.9775,-102.5,90.0,bottom
R13,100,R_0603_1608Metric,151.5,-103.0,90.0,bottom
R14,10k,R_0603_1608Metric,147.5,-108.5,90.0,bottom
R15,1k,R_0603_1608Metric,151.0,-106.5,90.0,bottom
R16,100,R_0603_1608Metric,144.0,-103.5,90.0,bottom
R17,4.7k,R_0603_1608Metric,97.0,-96.0,0.0,bottom
R18,10k,R_0603_1608Metric,107.0,-103.5,270.0,bottom
