Designator,Mid X,Mid Y,Rotation,Layer
C1,118.0,-95.0,180.0,bottom
C10,126.5,-90.5,90.0,bottom
C11,125.5,-116.0,0.0,bottom
C12,149.5,-106.5,270.0,bottom
C13,106.5,-94.5,90.0,bottom
C14,145.0,-95.0,270.0,bottom
C15,123.5,-127.0,90.0,bottom
C16,128.5,-127.0,90.0,bottom
C17,126.0,-127.0,90.0,bottom
C18,113.5,-77.0,270.0,bottom
C19,138.0,-96.0,270.0,bottom
C2,115.5,-111.5,270.0,bottom
C20,90.75,-96.0,0.0,bottom
C21,143.0,-90.0,90.0,bottom
C22,137.0,-91.5,90.0,bottom
C23,123.5,-77.0,270.0,bottom
C24,121.0,-77.0,270.0,bottom
C25,118.5,-77.0,270.0,bottom
C26,116.0,-77.0,270.0,bottom
C27,138.5,-53.0,0.0,bottom
C28,111.0,-53.0,180.0,bottom
C29,112.0,-93.0,90.0,bottom
C3,130.5,-92.5,180.0,bottom
C30,114.0,-100.5,90.0,bottom
C31,107.5,-97.5,90.0,bottom
C32,125.5,-76.5,90.0,bottom
C33,159.25,-96.0,180.0,bottom
C34,129.5,-112.5,270.0,bottom
C35,120.5,-115.5,180.0,bottom
C4,121.0,-103.5,90.0,bottom
C5,123.0,-105.5,0.0,bottom
C6,133.0,-102.5,270.0,bottom
C7,140.0,-106.0,270.0,bottom
C8,135.0,-151.0,90.0,bottom
C9,105.0,-110.5,0.0,bottom
D1,95.5,-106.0,180.0,top
D10,109.598439,-153.098439,45.0,bottom
D11,122.5,-139.5,45.0,bottom
D12,125.5,-146.0,90.0,bottom
D13,123.0,-152.5,135.0,bottom
D14,116.0,-155.5,180.0,bottom
D15,153.0,-106.7875,90.0,bottom
D16,112.0,-123.5,270.0,bottom
D17,131.0,-116.5,90.0,bottom
D18,133.0,-123.0,0.0,top
D19,125.0,-51.0,90.0,bottom
D2,95.5,-104.0,180.0,top
D20,95.5,-68.5,90.0,top
D21,154.5,-68.5,90.0,top
D22,133.0,-125.0,180.0,top
D23,111.175,-99.0,180.0,bottom
D24,111.175,-97.0,0.0,bottom
D25,95.5,-96.0,180.0,top
D26,95.5,-94.0,180.0,top
D27,116.5,-123.5,270.0,bottom
D3,95.5,-102.0,180.0,top
D4,95.5,-100.0,180.0,top
D5,95.5,-98.0,180.0,top
D6,132.0,-146.0,270.0,bottom
D7,116.0,-137.0,180.0,bottom
D8,109.5,-139.5,135.0,bottom
D9,106.5,-146.0,90.0,bottom
F1,142.5,-131.0,270.0,top
F2,135.0,-131.5,0.0,top
F3,141.5,-121.5,90.0,top
F4,144.5,-121.5,90.0,top
GD1,111.175,-102.5,270.0,bottom
J1,107.0,-126.0,270.0,top
J10,121.5,-113.0,90.0,top
J11,119.0,-113.0,90.0,top
J12,134.0,-156.0,270.0,bottom
J2,137.525,-146.1,180.0,top
J3,119.0,-126.0,0.0,top
J4,119.0,-134.0,180.0,top
J7,112.55,-129.0,90.0,top
J8,145.0,-106.0,0.0,bottom
J9,105.0,-106.5,0.0,bottom
L1,119.5,-65.5,90.0,bottom
P1,154.95,-100.75,90.0,top
P2,90.0,-74.5,0.0,bottom
P3,160.0,-74.5,0.0,bottom
P4,84.5,-76.5,90.0,top
P5,165.5,-76.5,90.0,top
P6,92.0,-89.0,0.0,top
P7,158.0,-89.0,180.0,top
PC1,102.0,-97.0,90.0,bottom
PC2,148.5,-98.0,90.0,bottom
PC3,141.0,-98.0,90.0,bottom
Q1,100.5,-73.0,0.0,bottom
Q10,132.0,-141.5,90.0,bottom
Q2,149.5,-73.0,180.0,bottom
Q3,133.0,-111.0,90.0,bottom
Q4,141.5,-117.0,90.0,bottom
Q5,133.5,-68.0,180.0,bottom
Q6,100.5,-59.5,0.0,bottom
Q7,149.5,-66.0,180.0,bottom
